Protein	EC
WP_003514691.1	EC:4;EC:5.4.99.12 EC:5.4.99.25 EC:5.4.99.26 EC:5.4.99.27 EC:5.4.99.28 EC:5.4.99.42 EC:5.4.99.44 EC:5.4.99.45
WP_003513667.1	EC:3.2.1;EC:3.5;EC:4
WP_003515288.1	EC:1.2.7.4
WP_003518263.1	EC:2.7.8
WP_003517635.1	EC:2
WP_003513908.1	EC:3
WP_003518979.1	EC:3.4.11
WP_003515313.1	EC:3.5.1.28
WP_003514377.1	EC:3
WP_003516822.1	EC:2.7.3;EC:2.7.1
WP_003516852.1	EC:4;EC:3.1.1.11;EC:3.2.1
WP_003512397.1	EC:3.4.21
WP_003517750.1	EC:2.3.1.85;EC:2.1.1;EC:1
WP_003518637.1	EC:3.5.2.3;EC:2.1.3
WP_003511688.1	EC:4.2.1.33;EC:4.2.1.36;EC:4.2.1.85
WP_003514882.1	EC:3.2.1.45;EC:3.2.1.136
WP_003515596.1	EC:3.6.1.3
WP_003520441.1	EC:6.3.2.4;EC:6.3.2.3;EC:6.3.2.29;EC:6.3.2.17;EC:6.3.2.30
WP_003519056.1	EC:1.12.7
WP_003513611.1	EC:2.3.1.5;EC:2.7.7.38;EC:2.4.1;EC:3
WP_003514222.1	EC:3.6.1.3
WP_003517785.1	EC:2.7.7.7;EC:2.7.7.49
WP_003516824.1	EC:3.6.1.3
WP_003516678.1	EC:4.1.1.20
WP_003512395.1	EC:3.2.1
ADU75731.1	EC:3.2.1.91;EC:3.2.1.4
WP_003516876.1	EC:2.4
WP_003517076.1	EC:2
WP_003513657.1	EC:3.2.1
WP_003512623.1	EC:2.4.1.1;EC:2.4.1.11
WP_003518669.1	EC:1.4.1.14;EC:1.4.1.13
WP_003515807.1	EC:3.5.1.5
WP_003517617.1	EC:2;EC:6.3.5.3
WP_003520182.1	EC:5
WP_003517145.1	EC:5
WP_003515290.1	EC:4;EC:2.6.1
WP_003512434.1	EC:4.2.1.70
WP_003515663.1	EC:3.6.1.3
WP_003515671.1	EC:2.1.2.1;EC:2.1.1
WP_003516306.1	EC:3.1.26.4
WP_003516670.1	EC:3.4.16.4
WP_003514554.1	EC:3.6.4.12
WP_003518069.1	EC:3.6.1.15;EC:3.6.1.66
WP_004463813.1	EC:5.1.3
WP_003517625.1	EC:6
WP_003515805.1	EC:3.5.1.5
WP_003511682.1	EC:2.7.8.26;EC:2.7.1.156;EC:2.4.2.21
WP_003518549.1	EC:2.7.4.3
WP_003517592.1	EC:3.4.11
WP_003520327.1	EC:3.5.1.2;EC:6.3.5.1;EC:2;EC:6.3.1.5
WP_003517535.1	EC:4.1.1;EC:3
WP_003518635.1	EC:4.1.1.23
WP_003514920.1	EC:1.8.4.12;EC:1.8.4.11
WP_003512846.1	EC:7.2.2.10;EC:3
WP_003514908.1	EC:2.3.1.5
WP_003512592.1	EC:2.7.1.90;EC:2.7.1.11
WP_003516878.1	EC:3.2
WP_003513126.1	EC:2.3.1.182;EC:2.3.3.13
WP_003518679.1	EC:7.2.2;EC:3.6.1.3
WP_003513613.1	EC:2.6.1
WP_003516505.1	EC:2.3.1.5
WP_003518476.1	EC:3
WP_003516668.1	EC:2.4.1.1;EC:2.4.2.4;EC:2.4.2.2;EC:2.4.2.3
WP_003518616.1	EC:2.8.4.4;EC:2.1.1;EC:1
WP_003513562.1	EC:3.1.11.5;EC:3.4.11
WP_003519140.1	EC:2.7.7;EC:4.6.1.1
WP_003516545.1	EC:5.3.1.23
WP_003514573.1	EC:2.4.2.17
WP_003517126.1	EC:3.1.3.48
WP_003512026.1	EC:3.2.1.91;EC:3.2.1.176;EC:3.2.1.4
WP_003515457.1	EC:3
WP_003518853.1	EC:3.5.4.4;EC:3.5.4.28
WP_003517318.1	EC:3.6.1.3
WP_003513635.1	EC:4.2.1.33;EC:4.2.1.85
WP_003513365.1	EC:3.2.1.4
WP_003515661.1	EC:1.1.1.27
WP_003518083.1	EC:2
WP_003513649.1	EC:3.5.4.16;EC:2.7.6.3
WP_003514575.1	EC:1.1.1.23
WP_003512020.1	EC:5.2.1.8
WP_003515459.1	EC:2.7.8.13
WP_003513594.1	EC:2.7.7.38;EC:2.6.1
WP_003513104.1	EC:5.4.3.8;EC:2.6.1
WP_003513367.1	EC:3.4
WP_003517512.1	EC:4.2;EC:3.2.2
WP_003515638.1	EC:2
WP_003517241.1	EC:1
WP_003517501.1	EC:3.2.1.55
WP_003518814.1	EC:2.7.3
WP_003518478.1	EC:3
WP_003518639.1	EC:2.1.3.2
WP_003515022.1	EC:1
ADU74599.1	EC:6.1.1.2
WP_003517204.1	EC:4;EC:2.4.2.18
WP_003519032.1	EC:2.7.7.8
WP_003514914.1	EC:3.2;EC:3.4
WP_003517334.1	EC:3.6.1.3
WP_003513404.1	EC:2
WP_003514161.1	EC:2.7.3
WP_003514173.1	EC:2.7.7.7
WP_003517096.1	EC:2
WP_003515811.1	EC:3
WP_003513605.1	EC:4
WP_014522648.1	EC:3.1
WP_003517639.1	EC:3.6.4.12
WP_003516337.1	EC:3.6.1.3
WP_003516354.1	EC:3
WP_003514503.1	EC:2.1.1;EC:3.1.1.61;EC:3.5.1.44
WP_003514880.1	EC:4
WP_003512274.1	EC:6.3.1.2
WP_003512596.1	EC:4.1.2.13
WP_003513950.1	EC:2.7.1
WP_003515476.1	EC:4.1.2.25;EC:3;EC:4.2.1.51;EC:2.7.6.3;EC:2.8.2;EC:2.5.1.15
WP_003519463.1	EC:3
WP_003516854.1	EC:4;EC:3.1.1.11;EC:3.2.1
WP_003515942.1	EC:3.4
WP_003517149.1	EC:2.1.1;EC:3.4.23
WP_003517667.1	EC:2.6.1
WP_003517442.1	EC:3;EC:2.7.7.18
WP_003517997.1	EC:4
WP_003517527.1	EC:2.7.3
WP_003521240.1	EC:6.3.2.9
WP_003516870.1	EC:3.2.1
WP_003516243.1	EC:3.1.3.15
WP_003516984.1	EC:2.7.9.1
WP_003513100.1	EC:3.6.3.25;EC:3
WP_003514175.1	EC:3.6.1.23;EC:2.6.1
WP_014522635.1	EC:3
ADU74998.1	EC:2.1.1
WP_003518139.1	EC:1.1.1.34
WP_003513639.1	EC:1.1.1.85
WP_003517588.1	EC:3.6.1.3
WP_003515478.1	EC:2.7.6.3;EC:2.5.1.15
WP_003519012.1	EC:3
WP_003517200.1	EC:5.3.1.24;EC:4.1.1.48
WP_003516611.1	EC:5.3.2
WP_003516590.1	EC:2.1.1
WP_003515439.1	EC:2
WP_003512475.1	EC:2.6.1.52;EC:1.1.1.95
WP_003515501.1	EC:2.4.1.227
WP_003517629.1	EC:1
WP_003513955.1	EC:3
WP_003517088.1	EC:1.1.1.22
WP_003517249.1	EC:3.1.5
WP_003518753.1	EC:3.1.11.6
WP_003518233.1	EC:3
WP_003515849.1	EC:4.1.2;EC:2.5.1.54
WP_003517444.1	EC:2.3.1.5
WP_003518690.1	EC:3.2.1.4
WP_003515298.1	EC:1.2.7
WP_003515293.1	EC:1.2.7.7;EC:1.2.7.1
WP_003515507.1	EC:6.3.2.10;EC:6.3.2.17
WP_003517159.1	EC:3.1.3.27
WP_003513846.1	EC:3.2;EC:3.5
WP_003517306.1	EC:2.7.1.31
WP_003516177.1	EC:3.5.3
WP_003517350.1	EC:3.4.24;EC:3.6.1.3
WP_003514910.1	EC:7.2.2;EC:3.6.1.3
WP_003514151.1	EC:2.1.1.63;EC:3
WP_003519528.1	EC:3.1
WP_003513400.1	EC:1.3.1;EC:1.1.1
WP_003518516.1	EC:6.1.1.15
WP_003516513.1	EC:3.4.11;EC:3.2.1.4
WP_003513108.1	EC:4.2.1.75;EC:2.1.1.107
WP_003511587.1	EC:3.5.1;EC:6.3.4.4
WP_003517663.1	EC:3.2.1.4
WP_003517607.1	EC:7.2.2
WP_003512461.1	EC:1.1.1.3
WP_003517375.1	EC:2.5.1.48;EC:4
WP_003513301.1	EC:6.1.1.11
WP_003513369.1	EC:4;EC:2.1.1
WP_003516862.1	EC:3.4.24
WP_003513402.1	EC:2
WP_003516780.1	EC:2.3.1.30
WP_003516973.1	EC:2;EC:3
WP_003518303.1	EC:4.2.1.20
WP_003514467.1	EC:3.6.1.3
WP_003514505.1	EC:1
WP_003515841.1	EC:3.6.1.3
WP_003515505.1	EC:2.7.8.13
WP_003513089.1	EC:2.7.7
WP_003515877.1	EC:2.7.7.6
WP_003513371.1	EC:1.4.3.16
WP_003518743.1	EC:2.1.1
WP_003517322.1	EC:2.7.3
WP_003513114.1	EC:4.99.1.4;EC:1.2.1.70;EC:1.3.1.76
WP_003519324.1	EC:2.7.3
WP_003518173.1	EC:3.5.2.6;EC:3.4.16.4
WP_003517208.1	EC:4.1.3.27
WP_003518248.1	EC:3
WP_003517457.1	EC:4;EC:5.4.99.18
WP_003513241.1	EC:3
WP_003520969.1	EC:3.2.1.4
WP_003515847.1	EC:2.5.1.19;EC:1.3.1.13;EC:1.3.1.12
WP_003517000.1	EC:2.7.7.6
WP_003512252.1	EC:3.1.22.4
WP_003517324.1	EC:2.7.3
WP_003515809.1	EC:3.5.1.5
WP_003514865.1	EC:1.6
WP_003518444.1	EC:3.2.1.32;EC:3.2.1.55;EC:3.2.1.8;EC:3.5
WP_003512300.1	EC:3.2.1
WP_003518745.1	EC:2.2.1.7
WP_003517712.1	EC:3.6.1.3
WP_003515509.1	EC:6.3.2.13;EC:6.3.2.17
WP_003512250.1	EC:6.3.4.5
WP_003516738.1	EC:6.1.1.10
WP_003517326.1	EC:4.1.2.4;EC:3.5.4.5
WP_003518031.1	EC:1
WP_003514863.1	EC:1.12.7;EC:1.6
WP_003517938.1	EC:5.6.2.1
WP_003517764.1	EC:3.2.1.4
WP_003518751.1	EC:2.5.1.1;EC:2.5.1.10;EC:2.5.1.29
WP_003518664.1	EC:3.6.4.12
WP_003518601.1	EC:1.1.1.100;EC:1.1.1.125
WP_003518652.1	EC:5;EC:2
WP_003515437.1	EC:4;EC:1;EC:5.1.3.2
WP_003512318.1	EC:3
WP_003517455.1	EC:2.4.2.14
WP_003518707.1	EC:2.7.3
WP_003512282.1	EC:1
WP_003519111.1	EC:3.4.16.4
WP_003515873.1	EC:2.7.7
WP_003515817.1	EC:3.5.2.6;EC:3.5.1.28
WP_003520229.1	EC:3.2.1.55
WP_003517826.1	EC:3.2.1.4;EC:3.2.1.78
WP_003518557.1	EC:2
WP_003515076.1	EC:3
WP_003515443.1	EC:3
WP_003512770.1	EC:2.2.1.1
WP_003515519.1	EC:2.4.1.129
WP_003518001.1	EC:2;EC:3.4.16.4
WP_003515746.1	EC:3.4.21
WP_003515871.1	EC:2.1.1;EC:3.4.21
WP_003516235.1	EC:2.8.1.7;EC:2.6.1
WP_003518077.1	EC:3.6.4.12
WP_003517824.1	EC:1
WP_003514861.1	EC:7.1.1.2
WP_003517766.1	EC:3.4
ADU73908.1	EC:2.7.3
WP_003517214.1	EC:4.2.1.51;EC:4.1.2;EC:2.5.1.54
WP_003517105.1	EC:2.4.1
WP_003517043.1	EC:2.7.3
WP_003511591.1	EC:2
WP_003518334.1	EC:4.2.1.46;EC:4.2.1.45
WP_003512264.1	EC:3.5.1.28
WP_003513424.1	EC:3
WP_003512284.1	EC:6.3.1.2
WP_003514375.1	EC:2.1.1;EC:3
WP_003518725.1	EC:2.7.11.24;EC:2.7.1.86;EC:2.7.1.23
WP_003515068.1	EC:2.4;EC:3;EC:2.6.1.85
WP_003517796.1	EC:3.4.19;EC:3.6.1
WP_003512229.1	EC:1
WP_003521619.1	EC:2.7.3;EC:3.1.3.16
WP_003517736.1	EC:2.3.1.5
WP_003514839.1	EC:1.1.1
WP_003513527.1	EC:4.2.1.51;EC:5.4.99.5
WP_003514730.1	EC:3.6.1.3
WP_003514700.1	EC:2.7.3
WP_003517447.1	EC:6.3.4.13
WP_003513828.1	EC:2.1.3.3;EC:2.1.3.9
WP_003512659.1	EC:1
WP_003512892.1	EC:2.6.1
WP_003516355.1	EC:2.3.1.5
WP_003518935.1	EC:2.8.1.6;EC:2.6.1.62
WP_003515533.1	EC:4;EC:5.4.99.12 EC:5.4.99.25 EC:5.4.99.26 EC:5.4.99.27 EC:5.4.99.28 EC:5.4.99.42 EC:5.4.99.44 EC:5.4.99.45
WP_003516134.1	EC:2.7.7.27;EC:3.4.11
WP_003513854.1	EC:4;EC:2.4.1
WP_003518346.1	EC:3.2.1
WP_003517161.1	EC:2.6.1.42
WP_003517206.1	EC:2.4.2.18;EC:4.1.3.27;EC:2.6.1.85
WP_003518251.1	EC:2.3.3.13;EC:1
WP_003519034.1	EC:3.3.1.1;EC:4.3.3.7;EC:1
WP_003519089.1	EC:6.1.1
WP_003515523.1	EC:3
WP_003518029.1	EC:1.3.1.74
WP_003520980.1	EC:1.1.1.205
WP_003513880.1	EC:7.2.2.10;EC:3
WP_003517328.1	EC:3.5.4.5
WP_003513826.1	EC:6.3.5.5;EC:2
WP_003511577.1	EC:4.2.1
WP_003516504.1	EC:4.1
WP_004463183.1	EC:3
WP_003515441.1	EC:2.1.1
WP_003511909.1	EC:3.2.1
WP_003518595.1	EC:2.3.1.179
WP_003513535.1	EC:3.6.4.12
WP_003515531.1	EC:2.7.1.26;EC:2.7.7.2
WP_003512922.1	EC:4.2.1.59;EC:3.5.1.108
WP_003520797.1	EC:3.2.1.21;EC:3.2.1.23
WP_003514309.1	EC:2.7.7
WP_003518605.1	EC:2.3.1.180;EC:2.3.1.41
WP_003518053.1	EC:1
WP_020458025.1	EC:1.2
WP_003513688.1	EC:3
WP_003520820.1	EC:2
WP_003514311.1	EC:2.7.7.6
WP_003516273.1	EC:4.3.2.2
WP_003517659.1	EC:5.1.3.1
WP_003512125.1	EC:2
WP_003515896.1	EC:3.4
WP_003513095.1	EC:2.7.7.4
WP_003519094.1	EC:1
WP_003512115.1	EC:3.2.1
WP_003515551.1	EC:3.4.24
WP_003513523.1	EC:3
WP_003519433.1	EC:2
WP_003519149.1	EC:1.17.1.8;EC:1.17.1
WP_003514859.1	EC:2.3.1.5;EC:7.1.1.2
WP_003516617.1	EC:4.4.1.16;EC:2.8.1.7
WP_003518007.1	EC:7.2.4.5;EC:7.2.4.1 EC:7.2.4.2 EC:7.2.4.3 EC:7.2.4.4 EC:7.2.4.5
WP_003515898.1	EC:2.3.1.5;EC:3.4
WP_003516278.1	EC:3.2.1.4
WP_003512117.1	EC:2.7.3;EC:2.7.12.1
WP_003516211.1	EC:5.4.99.5
WP_003513521.1	EC:3
WP_003516239.1	EC:2.8.1;EC:2.1.1
ADU73817.1	EC:2.7.7.7
WP_003519257.1	EC:3.6.4.12
WP_003518305.1	EC:4.2.1.20;EC:5
WP_003517381.1	EC:2.1.1.63
WP_003517830.1	EC:2.7.7.6
WP_003511547.1	EC:3
WP_003519135.1	EC:1
WP_003511677.1	EC:7.2.2;EC:3.6.1.3
WP_003520526.1	EC:5.1.3.13;EC:2;EC:1.1.1.133
WP_003514081.1	EC:4.1.1;EC:3
WP_003520957.1	EC:2.5.1.3;EC:2.7.4.7
WP_003518405.1	EC:3.1.6
WP_003517621.1	EC:6.3.5.4
WP_003515926.1	EC:3
WP_003517389.1	EC:2.1.1
WP_003517348.1	EC:1.18.6.1
WP_003518895.1	EC:2.1.1
WP_003513085.1	EC:1
WP_003518448.1	EC:3
WP_003518749.1	EC:1.11.1.7
WP_003516759.1	EC:3.4
WP_003516190.1	EC:4;EC:6.4.1.1;EC:2.1.3.1
WP_003511903.1	EC:2.8.4.2
WP_003517212.1	EC:6;EC:3.6.1.3
WP_014522592.1	EC:3.2.1.8;EC:3.5
WP_003512661.1	EC:2.7.7.25;EC:6.3.5.2;EC:6.3.5.4
WP_003517401.1	EC:6.3.5.7;EC:2;EC:3
WP_003519028.1	EC:1.11.1.6
WP_003517071.1	EC:3.6.1;EC:6.1.1.7
WP_003513438.1	EC:3
WP_003514085.1	EC:3.2.1
WP_003516153.1	EC:3
WP_003517377.1	EC:7.2.2;EC:3.6.1.3
WP_003516897.1	EC:3
WP_003516162.1	EC:3.4.24
WP_003517391.1	EC:1.1.1.35;EC:4.2.1.17;EC:4.2.1.18;EC:5.1.2.3;EC:4.2.1.55;EC:5.3.3.8
WP_003512710.1	EC:2.7.3;EC:2.7.1
WP_003516777.1	EC:4;EC:3.2.2.23
WP_003514315.1	EC:2
WP_003512109.1	EC:3.5.4.25;EC:4.1.99.12
WP_003516455.1	EC:1.2.7
WP_003513533.1	EC:3;EC:1
WP_003517183.1	EC:1.2
WP_003517935.1	EC:4.2.99.18;EC:3.1.11.2
ADU74128.1	EC:3.1
WP_003515687.1	EC:3.4.24
WP_003518870.1	EC:2.3.1.5
WP_003515555.1	EC:2.7.7.41
WP_003512578.1	EC:3
WP_003514562.1	EC:3.2.1
WP_003512576.1	EC:1.12.7
WP_003512504.1	EC:3.2.1
WP_003513513.1	EC:3
WP_003515579.1	EC:2.7.7.6
WP_003518486.1	EC:2.5.1.6
WP_003518593.1	EC:3.1.26.3
WP_003514333.1	EC:3.2.1;EC:3.2;EC:4
WP_003517828.1	EC:3.2.1
WP_003511635.1	EC:5.4.2;EC:2.7.7
ADU73504.1	EC:4.1.1.32
WP_003513961.1	EC:1.11.1.15;EC:1.6.99.3;EC:1.11.1.7
WP_003519061.1	EC:1.12.7;EC:7.1.1.2
WP_003516498.1	EC:2.7.7
WP_003515892.1	EC:3.5
WP_003518726.1	EC:2.7.7.65
WP_003518023.1	EC:3.1.13.1
WP_003513053.1	EC:2
WP_003514745.1	EC:3.6.1.3
WP_003513660.1	EC:3.2.1
WP_003511911.1	EC:1
WP_003512173.1	EC:1.2.1
WP_003514331.1	EC:2.3.1.234;EC:3.4
WP_003518358.1	EC:3.6.3.25
WP_003513509.1	EC:3.6.1.3
WP_003513083.1	EC:2
WP_003519075.1	EC:3.9;EC:2.7.1
WP_003515894.1	EC:2
WP_003513765.1	EC:3.2.1
WP_004463666.1	EC:3.6.4.12
WP_003517002.1	EC:2.7.4.8
WP_080514902.1	EC:2.5.1.7
WP_003517641.1	EC:3.5.1.88;EC:2.1.2
WP_003512078.1	EC:4.2.3.3
WP_003512119.1	EC:3
WP_003514679.1	EC:2.7.7.6
WP_003520919.1	EC:2.7.1.24
WP_003518265.1	EC:2.4
WP_003514339.1	EC:3
WP_003518386.1	EC:1.4.3.21
WP_003516518.1	EC:2.6.1.9
WP_003516920.1	EC:2;EC:1.3.99.16
WP_003515904.1	EC:1
WP_003516139.1	EC:2.1.1
WP_003518543.1	EC:3.6.1.3;EC:7.2.2
WP_003512074.1	EC:3.6.1.3
WP_003517399.1	EC:6.3.5.7;EC:2
WP_003516178.1	EC:2.1.1
WP_003515365.1	EC:2.7.7.6
WP_003518261.1	EC:7.3.2.1;EC:3.6.1.3
WP_003512894.1	EC:2.7.7
WP_003517185.1	EC:1.2.7.7;EC:1.2.7.3
WP_003512048.1	EC:2.3.1.35;EC:2.3.1.1
WP_003518736.1	EC:3.2.1
WP_003519059.1	EC:7.1.1.2
WP_003514757.1	EC:3.4.24;EC:2.7.7.6
WP_003512072.1	EC:4
WP_023062381.1	EC:3.5.1.9
WP_003517266.1	EC:3
WP_003513529.1	EC:3.6.1.9
WP_003517405.1	EC:6.3.1.2
WP_003517187.1	EC:1.2.7.7
WP_003515900.1	EC:3.4.21
WP_003512910.1	EC:5.2.1.8
WP_003516868.1	EC:3.4
WP_003513600.1	EC:2.3.1.5
WP_003517040.1	EC:2.4;EC:6.1.1.21
WP_003513380.1	EC:3
WP_003516144.1	EC:3
WP_003513078.1	EC:2.7.7.6
WP_003519013.1	EC:4;EC:3.2.1
WP_003514216.1	EC:2.7.7.7
WP_003515363.1	EC:2.7.7.6
WP_003517480.1	EC:3.2.1
WP_003513515.1	EC:3
WP_003512502.1	EC:3.6.1.3
WP_003512924.1	EC:3.6.1.3
WP_003514890.1	EC:1.15.1.1
WP_003514857.1	EC:1
WP_003517151.1	EC:3.6.1.3
WP_003511603.1	EC:5.1.1.7
WP_003515525.1	EC:3.4
WP_003511667.1	EC:3.1.1.2;EC:1.11.1.7
WP_003519011.1	EC:3.2.1.8
WP_003516013.1	EC:2.1.1
WP_003512179.1	EC:2.7.1.29;EC:3
WP_003513676.1	EC:3.5.1.25
WP_003515597.1	EC:1.1.1.8
WP_003512926.1	EC:3.2
WP_003517285.1	EC:6.1.1.18;EC:6.1.1.17
WP_003517033.1	EC:2.7.1.33;EC:3
WP_003519087.1	EC:2.1.1
WP_003511665.1	EC:6.6.1.1
WP_003513147.1	EC:3.4
WP_003512177.1	EC:4.2.1.11
WP_014522591.1	EC:3.2.1.8;EC:3.5;EC:3.2.1.51
WP_003518702.1	EC:4;EC:3.2
WP_003515434.1	EC:3.6.1.1;EC:2.1.1;EC:3.6.1.9
WP_003512010.1	EC:2.7.7.6
WP_003517991.1	EC:3.5.1.44
WP_003517181.1	EC:6.3.1.2
WP_003512146.1	EC:3
WP_003513911.1	EC:6.1.1.19;EC:6.1.1.14
WP_003515048.1	EC:4.1.3.36
WP_003519151.1	EC:2;EC:3.4.16.4
WP_003511613.1	EC:4.3
WP_003516003.1	EC:2.1.1
WP_003518801.1	EC:4;EC:3.5.1.2
WP_003519346.1	EC:2.7.3
WP_003512896.1	EC:2.3.1.89
WP_003520446.1	EC:4.2.1.33
WP_003519459.1	EC:7.1.3.1;EC:3.6.1.1
WP_003515987.1	EC:3.6.1.3
WP_003519133.1	EC:5.4.2.10
WP_003513957.1	EC:4
WP_003515355.1	EC:2.7.3.9
WP_003518955.1	EC:2
WP_003515572.1	EC:4;EC:2.4.99
WP_003517880.1	EC:5.3.1.1;EC:2.7.2.3
WP_003513182.1	EC:1
WP_003512062.1	EC:2.3.1.5;EC:3.6.1.9
WP_003517215.1	EC:2.7.3;EC:2.7.7.65
WP_003515794.1	EC:2.7.3
WP_003517722.1	EC:3.4.21
WP_003518004.1	EC:2.7.7.7
WP_003519665.1	EC:2.7.3
WP_003513072.1	EC:3.2.1.55
WP_003516324.1	EC:3.4.21
WP_003518237.1	EC:6.3.2.12;EC:6.3.2.17
WP_003515613.1	EC:3.4
WP_003512152.1	EC:2.3.1.180;EC:2.3.1.41
WP_003518526.1	EC:3.2.1
WP_003518658.1	EC:4.3.3.7
WP_003517257.1	EC:6.3.2.1
WP_003513166.1	EC:3.4.24
WP_003514126.1	EC:6.1.1;EC:3.1.26.3
WP_003513436.1	EC:3
WP_003517623.1	EC:3.2;EC:3.5
WP_003517953.1	EC:3.6.1.3
WP_003515983.1	EC:2.7.13.3;EC:3.1.3.16
WP_003516001.1	EC:2.1.1.72;EC:2.1.1
WP_003512684.1	EC:5.4.99.62;EC:5.5.1
WP_003514229.1	EC:3.6.1.3
WP_003513915.1	EC:5.1.1.3
WP_003514851.1	EC:2.3.3
WP_003514230.1	EC:3.2.1
WP_003514218.1	EC:2.7.4.22;EC:2.7.4.9
WP_003513164.1	EC:3.6.1.9
WP_003512514.1	EC:2.7.7.6
WP_003515025.1	EC:2.2.1.6
WP_003520372.1	EC:1.3.1.14;EC:1.3.5.2
WP_003511639.1	EC:2
WP_003516148.1	EC:3
WP_003516932.1	EC:1
WP_003517505.1	EC:2.1.1
WP_003516457.1	EC:3.4.17;EC:3.1.4.11
WP_003513547.1	EC:3.4.24;EC:3.6.1.3
WP_003515802.1	EC:3.6.1.3
WP_080514903.1	EC:3.4.23
WP_003512705.1	EC:3.2.1
WP_003517747.1	EC:3.1.21.4;EC:2.1.1.72
WP_003516657.1	EC:1.5.1.2
WP_003513490.1	EC:3.6.1.3
WP_003512900.1	EC:3.2.1;EC:5.1.3.14
WP_003514694.1	EC:2.7.7.60
WP_003513388.1	EC:2
WP_003513028.1	EC:5.3.1.9;EC:1
WP_003517496.1	EC:2.7.3;EC:3.1.3.16
WP_003518650.1	EC:2.4.2.29
WP_003515588.1	EC:3.5.1.28
WP_003518575.1	EC:1.4.1.16;EC:1.17.1.8
WP_003517264.1	EC:7.4.2.3 EC:7.4.2.4
WP_003513937.1	EC:1
WP_003513507.1	EC:3.2.1;EC:1.13.11
WP_003515331.1	EC:2.7.4.1
WP_003516241.1	EC:6.1.1.1
WP_003514696.1	EC:3.6.1.3
WP_003519003.1	EC:3.6.4.12
WP_003513145.1	EC:5.6.2.1
WP_003519180.1	EC:1.1.1.69
WP_003519039.1	EC:1.2.1.10;EC:1.1.1.1;EC:4
WP_003511942.1	EC:3.2.1.91;EC:3.1.4.11;EC:3.2.1.78
WP_003516023.1	EC:2.4;EC:3.4.21
WP_003511964.1	EC:3
WP_003513782.1	EC:2.7.3
WP_003516641.1	EC:3.4
WP_003512405.1	EC:1.2.1.41
WP_003517772.1	EC:7.2.2;EC:3.6.1.3
WP_003515333.1	EC:2.1.1
WP_003515609.1	EC:2.7.2.1;EC:2.3.1
WP_003514690.1	EC:2.7.1.2;EC:1
WP_003517492.1	EC:2.7.7.7
WP_003519037.1	EC:1
WP_003517142.1	EC:3
WP_003517488.1	EC:3
WP_003519236.1	EC:3.6.1.3
WP_003517065.1	EC:6;EC:3.1.1.96;EC:3.1.1
WP_003516988.1	EC:3.4
WP_003513498.1	EC:3.4.24;EC:7.4.2.4
WP_003513954.1	EC:2.1.1
WP_003515836.1	EC:3.6.1.3
WP_003516527.1	EC:6.2.1.30
WP_003516254.1	EC:3.2.1.4
WP_003518755.1	EC:3.1.11.6
WP_003516364.1	EC:4;EC:6.1.1.5
WP_003513452.1	EC:2.1.1;EC:1.5.1.20
WP_003515310.1	EC:2.1.1
WP_003518883.1	EC:3.4
WP_003517262.1	EC:7.4.2.3 EC:7.4.2.4
WP_003518624.1	EC:3.1.3.3;EC:2.3.1.5;EC:5
WP_003513133.1	EC:3.5.4.15;EC:3.5.4.3
WP_003513162.1	EC:3.2.1.8
WP_003515499.1	EC:2.5 EC:2.5.1
WP_003512015.1	EC:1.12.7
WP_003514225.1	EC:2.7.3;EC:2.7.1
WP_003518514.1	EC:3.2.1;EC:3.1.1.11;EC:4
WP_003516636.1	EC:3.2.1.6
WP_003519302.1	EC:4;EC:2.4.1
WP_003518674.1	EC:3.6.3.25;EC:3.6.1.3
WP_003516107.1	EC:2.4.2
WP_003513545.1	EC:6;EC:2.4.2.8
WP_003520699.1	EC:3
ADU75920.1	EC:3
WP_003516110.1	EC:3.4.16.4
WP_003519098.1	EC:1.1.1.37;EC:1.1.1.27
WP_003517868.1	EC:1.3.1.98
WP_003515281.1	EC:3.2.1
WP_003515856.1	EC:2.4
WP_003516096.1	EC:6.1.1.7
WP_003512025.1	EC:6.1.1.22
WP_003513352.1	EC:3.1.26.5
WP_003515630.1	EC:3.4.24
WP_003517403.1	EC:6.3.5.7;EC:2
WP_003515828.1	EC:3
WP_003515629.1	EC:3.5.1.28
ADU75656.1	EC:2.1.2.11
WP_003518175.1	EC:3.2.1
WP_003516995.1	EC:6.1.1.14
WP_003512804.1	EC:3.1.2
WP_003515650.1	EC:3.4.21
WP_003512386.1	EC:3.6.1.3
WP_014522658.1	EC:2
WP_003512944.1	EC:2.5.1.7
WP_003518901.1	EC:2.1.1.45
WP_003512630.1	EC:2.6.1
WP_003518597.1	EC:2.7.1
WP_003515634.1	EC:2.7.7.7;EC:2.1.1
WP_003517259.1	EC:3.1.4;EC:2.1.2.11;EC:2.1.1
WP_003516413.1	EC:2.7.1.30
WP_003512401.1	EC:3
WP_014522593.1	EC:3.2.1;EC:3.5.1.28;EC:3.4.21
WP_003518472.1	EC:7.2.2;EC:3
WP_003517067.1	EC:2.7.6.5;EC:3.1.7.2
WP_003512963.1	EC:3
WP_003513209.1	EC:1
WP_003520986.1	EC:2.7.1.24;EC:1.17.1.2
WP_003516429.1	EC:3.4.24
WP_003515830.1	EC:3.5.1.28
ADU75877.1	EC:2.3.1.5;EC:2.4.1;EC:2.1.2
WP_003520465.1	EC:3.6.3.25;EC:3.6.1.3
WP_003519434.1	EC:3
